province,city,year,month,price
上海,上海,2010,12,22491
上海,上海,2010,11,22119
上海,上海,2010,10,22069
上海,上海,2010,09,21785
上海,上海,2010,08,21545
上海,上海,2010,07,21664
上海,上海,2010,06,21840
上海,上海,2010,05,22047
上海,上海,2010,04,21810
上海,上海,2010,03,21006
上海,上海,2010,02,20782
上海,上海,2010,01,20435
上海,上海,2011,12,22665
上海,上海,2011,11,23288
上海,上海,2011,10,23720
上海,上海,2011,09,23883
上海,上海,2011,08,23950
上海,上海,2011,07,23940
上海,上海,2011,06,23849
上海,上海,2011,05,23679
上海,上海,2011,04,23570
上海,上海,2011,03,23548
上海,上海,2011,02,23421
上海,上海,2011,01,23058
上海,上海,2012,12,23428
上海,上海,2012,11,23105
上海,上海,2012,10,22929
上海,上海,2012,09,22833
上海,上海,2012,08,22663
上海,上海,2012,07,22516
上海,上海,2012,06,22348
上海,上海,2012,05,22198
上海,上海,2012,04,22160
上海,上海,2012,03,22063
上海,上海,2012,02,21804
上海,上海,2012,01,22082
上海,上海周边,2012,12,6645
上海,上海周边,2012,11,6563
上海,上海周边,2012,10,6553
上海,上海周边,2012,09,6610
上海,上海周边,2012,08,6544
上海,上海周边,2012,07,6542
上海,上海周边,2012,06,6486
上海,上海周边,2012,05,6595
上海,上海周边,2012,04,6821
上海,上海周边,2012,03,6951
上海,上海周边,2012,02,6980
上海,上海周边,2012,01,7174
上海,崇明,2010,12,5435
上海,崇明,2010,11,6526
上海,崇明,2010,10,8764
上海,崇明,2010,09,15150
上海,崇明,2010,08,15313
上海,崇明,2010,07,6551
上海,崇明,2010,06,8119
上海,崇明,2010,05,7563
上海,崇明,2010,04,8439
上海,崇明,2010,03,5501
上海,崇明,2010,02,4867
上海,崇明,2010,01,6541
上海,崇明,2012,12,4888
上海,崇明,2012,11,5298
上海,崇明,2012,10,5497
上海,崇明,2012,09,4586
上海,崇明,2012,08,4160
上海,崇明,2012,07,4221
上海,崇明,2012,06,5622
上海,崇明,2012,05,4310
上海,崇明,2012,04,4364
上海,崇明,2012,03,4542
上海,金山,2012,12,9177
上海,金山,2012,11,8876
上海,金山,2012,10,8789
上海,崇明,2012,02,4545
上海,崇明,2012,01,5293
上海,金山,2012,09,8852
上海,金山,2012,08,8753
上海,金山,2012,07,8844
上海,金山,2012,06,8671
上海,金山,2012,05,8585
上海,金山,2012,04,8671
上海,金山,2012,03,8644
上海,金山,2012,02,8722
上海,金山,2012,01,8835
上海,奉贤,2012,12,13411
上海,奉贤,2012,11,13242
上海,奉贤,2012,10,13064
上海,奉贤,2012,09,13038
上海,奉贤,2012,08,12888
上海,奉贤,2012,07,12781
上海,奉贤,2012,06,12418
上海,奉贤,2012,05,12585
上海,奉贤,2012,04,12511
上海,奉贤,2012,03,12565
上海,奉贤,2012,02,12334
上海,奉贤,2012,01,12583
上海,青浦,2012,12,15197
上海,青浦,2012,11,15304
上海,青浦,2012,10,15752
上海,青浦,2012,09,15530
上海,青浦,2012,08,15773
上海,青浦,2012,07,15375
上海,青浦,2012,06,15210
上海,青浦,2012,05,15644
上海,青浦,2012,04,16151
上海,青浦,2012,03,16821
上海,青浦,2012,02,17660
上海,青浦,2012,01,17354
上海,长宁,2012,12,30775
上海,长宁,2012,11,30258
上海,长宁,2012,10,30118
上海,长宁,2012,09,29864
上海,长宁,2012,08,29397
上海,长宁,2012,07,29348
上海,长宁,2012,06,29327
上海,长宁,2012,05,29164
上海,长宁,2012,04,29217
上海,长宁,2012,03,29348
上海,长宁,2012,02,29791
上海,长宁,2012,01,30010
上海,黄浦,2012,12,34239
上海,黄浦,2012,11,33524
上海,黄浦,2012,10,33724
上海,黄浦,2012,09,33406
上海,黄浦,2012,08,32915
上海,黄浦,2012,07,32418
上海,黄浦,2012,06,31940
上海,黄浦,2012,05,31470
上海,黄浦,2012,04,31372
上海,黄浦,2012,03,31784
上海,黄浦,2012,02,32216
上海,黄浦,2012,01,32044
上海,虹口,2012,12,27383
上海,虹口,2012,11,26790
上海,虹口,2012,10,26559
上海,虹口,2012,09,26302
上海,虹口,2012,08,26418
上海,虹口,2012,07,26467
上海,虹口,2012,06,26170
上海,虹口,2012,05,25996
上海,虹口,2012,04,26085
上海,虹口,2012,03,26169
上海,虹口,2012,02,26274
上海,虹口,2012,01,26258
上海,杨浦,2012,12,25474
上海,杨浦,2012,11,24976
上海,杨浦,2012,10,24800
上海,杨浦,2012,09,24618
上海,杨浦,2012,08,24348
上海,杨浦,2012,07,24327
上海,杨浦,2012,06,24290
上海,杨浦,2012,05,24268
上海,杨浦,2012,04,24004
上海,杨浦,2012,03,23975
上海,杨浦,2012,02,23701
上海,杨浦,2012,01,23875
上海,静安,2012,12,39667
上海,静安,2012,11,38676
上海,静安,2012,10,38756
上海,静安,2012,09,38596
上海,静安,2012,08,38572
上海,静安,2012,07,38295
上海,静安,2012,06,37521
上海,静安,2012,05,37440
上海,静安,2012,04,35619
上海,静安,2012,03,35238
上海,静安,2012,02,36836
上海,静安,2012,01,37887
上海,嘉定,2012,12,14443
上海,嘉定,2012,11,14187
上海,嘉定,2012,10,14028
上海,嘉定,2012,09,14134
上海,嘉定,2012,08,13855
上海,嘉定,2012,07,13826
上海,嘉定,2012,06,13631
上海,嘉定,2012,05,13441
上海,嘉定,2012,04,13635
上海,嘉定,2012,03,13938
上海,嘉定,2012,02,14386
上海,嘉定,2012,01,14506
上海,松江,2012,12,15409
上海,松江,2012,11,15145
上海,松江,2012,10,14945
上海,松江,2012,09,14902
上海,松江,2012,08,14769
上海,松江,2012,07,14566
上海,松江,2012,06,14441
上海,松江,2012,05,14291
上海,松江,2012,04,14235
上海,松江,2012,03,14113
上海,松江,2012,02,14292
上海,松江,2012,01,14389
上海,徐汇,2012,12,30437
上海,徐汇,2012,11,30041
上海,徐汇,2012,10,30090
上海,徐汇,2012,09,30263
上海,徐汇,2012,08,29935
上海,徐汇,2012,07,29579
上海,徐汇,2012,06,29084
上海,徐汇,2012,05,28999
上海,徐汇,2012,04,28860
上海,徐汇,2012,03,28773
上海,徐汇,2012,02,28818
上海,徐汇,2012,01,29431
上海,宝山,2012,12,17827
上海,宝山,2012,11,17652
上海,宝山,2012,10,17562
上海,宝山,2012,09,17460
上海,宝山,2012,08,17357
上海,宝山,2012,07,17188
上海,宝山,2012,06,17009
上海,宝山,2012,05,17023
上海,宝山,2012,04,16937
上海,宝山,2012,03,16891
上海,宝山,2012,02,17138
上海,宝山,2012,01,17643
上海,闵行,2012,12,20940
上海,闵行,2012,11,20651
上海,闵行,2012,10,20520
上海,闵行,2012,09,20429
上海,闵行,2012,08,20393
上海,闵行,2012,07,20154
上海,闵行,2012,06,19831
上海,闵行,2012,05,19611
上海,闵行,2012,04,19625
上海,闵行,2012,03,19630
上海,闵行,2012,02,19485
上海,闵行,2012,01,19867
上海,浦东,2012,12,23344
上海,浦东,2012,11,22987
上海,浦东,2012,10,22692
上海,浦东,2012,09,22620
上海,浦东,2012,08,22618
上海,浦东,2012,07,22425
上海,浦东,2012,06,22048
上海,浦东,2012,05,21860
上海,浦东,2012,04,21861
上海,浦东,2012,03,21668
上海,浦东,2012,02,21459
上海,浦东,2012,01,21776
上海,金山,2010,12,7239
上海,金山,2010,11,6816
上海,金山,2010,10,7454
上海,金山,2010,09,7232
上海,金山,2010,08,7644
上海,金山,2010,07,7481
上海,金山,2010,06,8895
上海,金山,2010,05,9292
上海,金山,2010,04,6984
上海,金山,2010,03,9268
上海,金山,2010,02,11189
上海,金山,2010,01,12034
上海,奉贤,2010,12,11231
上海,奉贤,2010,11,10904
上海,奉贤,2010,10,10947
上海,奉贤,2010,09,10909
上海,奉贤,2010,08,10904
上海,奉贤,2010,07,11093
上海,奉贤,2010,06,11130
上海,奉贤,2010,05,11732
上海,奉贤,2010,04,10931
上海,奉贤,2010,03,10208
上海,奉贤,2010,02,10979
上海,奉贤,2010,01,11427
上海,青浦,2010,12,21774
上海,青浦,2010,11,21704
上海,青浦,2010,10,22363
上海,青浦,2010,09,23918
上海,青浦,2010,08,25086
上海,青浦,2010,07,25450
上海,青浦,2010,06,24757
上海,青浦,2010,05,24487
上海,青浦,2010,04,25329
上海,青浦,2010,03,23921
上海,青浦,2010,02,23333
上海,青浦,2010,01,23539
上海,黄浦,2010,12,32380
上海,黄浦,2010,11,32140
上海,黄浦,2010,10,31216
上海,黄浦,2010,09,31214
上海,黄浦,2010,08,30935
上海,黄浦,2010,07,30724
上海,黄浦,2010,06,30659
上海,黄浦,2010,05,30056
上海,黄浦,2010,04,29738
上海,黄浦,2010,03,29107
上海,黄浦,2010,02,28002
上海,黄浦,2010,01,27754
上海,长宁,2010,12,29445
上海,长宁,2010,11,28882
上海,长宁,2010,10,28904
上海,长宁,2010,09,28779
上海,长宁,2010,08,29249
上海,长宁,2010,07,29010
上海,长宁,2010,06,28564
上海,长宁,2010,05,28328
上海,长宁,2010,04,27596
上海,长宁,2010,03,26955
上海,长宁,2010,02,26887
上海,长宁,2010,01,26022
上海,虹口,2010,12,24762
上海,虹口,2010,11,24223
上海,虹口,2010,10,24034
上海,虹口,2010,09,23742
上海,虹口,2010,08,23690
上海,虹口,2010,07,23934
上海,虹口,2010,06,23612
上海,虹口,2010,05,23565
上海,虹口,2010,04,23319
上海,虹口,2010,03,22671
上海,虹口,2010,02,22557
上海,虹口,2010,01,22211
上海,杨浦,2010,12,23123
上海,杨浦,2010,11,22804
上海,杨浦,2010,10,22593
上海,杨浦,2010,09,22179
上海,杨浦,2010,08,21650
上海,杨浦,2010,07,21795
上海,杨浦,2010,06,22100
上海,杨浦,2010,05,22291
上海,杨浦,2010,04,21959
上海,杨浦,2010,03,21267
上海,杨浦,2010,02,20932
上海,杨浦,2010,01,20370
上海,普陀,2010,12,22256
上海,普陀,2010,11,22073
上海,普陀,2010,10,21994
上海,普陀,2010,09,21571
上海,普陀,2010,08,21105
上海,普陀,2010,07,21110
上海,普陀,2010,06,21402
上海,普陀,2010,05,21658
上海,普陀,2010,04,21328
上海,普陀,2010,03,20390
上海,普陀,2010,02,20057
上海,普陀,2010,01,19940
上海,静安,2010,12,36175
上海,静安,2010,11,35297
上海,静安,2010,10,35246
上海,静安,2010,09,35312
上海,静安,2010,08,34653
上海,静安,2010,07,34562
上海,静安,2010,06,35261
上海,静安,2010,05,34757
上海,静安,2010,04,34303
上海,静安,2010,03,33298
上海,静安,2010,02,32265
上海,静安,2010,01,31451
上海,嘉定,2010,12,15701
上海,嘉定,2010,11,15353
上海,嘉定,2010,10,15674
上海,嘉定,2010,09,16348
上海,嘉定,2010,08,16238
上海,嘉定,2010,07,16377
上海,嘉定,2010,06,16667
上海,嘉定,2010,05,16904
上海,嘉定,2010,04,16865
上海,嘉定,2010,03,16292
上海,嘉定,2010,02,16080
上海,嘉定,2010,01,15777
上海,松江,2010,12,14569
上海,松江,2010,11,14282
上海,松江,2010,10,14263
上海,松江,2010,09,14275
上海,松江,2010,08,14383
上海,松江,2010,07,14425
上海,松江,2010,06,14567
上海,松江,2010,05,14577
上海,松江,2010,04,14335
上海,松江,2010,03,13925
上海,松江,2010,02,13820
上海,松江,2010,01,13208
上海,徐汇,2010,12,29486
上海,徐汇,2010,11,28770
上海,徐汇,2010,10,28398
上海,徐汇,2010,09,28004
上海,徐汇,2010,08,28052
上海,徐汇,2010,07,27872
上海,徐汇,2010,06,28497
上海,徐汇,2010,05,28414
上海,徐汇,2010,04,27899
上海,徐汇,2010,03,26651
上海,徐汇,2010,02,26023
上海,徐汇,2010,01,25312
上海,宝山,2010,12,17245
上海,宝山,2010,11,16960
上海,宝山,2010,10,16820
上海,宝山,2010,09,16312
上海,宝山,2010,08,16077
上海,宝山,2010,07,16223
上海,宝山,2010,06,16502
上海,宝山,2010,05,16656
上海,宝山,2010,04,16398
上海,宝山,2010,03,15780
上海,宝山,2010,02,15339
上海,宝山,2010,01,15315
上海,闵行,2010,12,19548
上海,闵行,2010,11,19395
上海,闵行,2010,10,19372
上海,闵行,2010,09,19089
上海,闵行,2010,08,18962
上海,闵行,2010,07,18942
上海,闵行,2010,06,19307
上海,闵行,2010,05,19426
上海,闵行,2010,04,19004
上海,闵行,2010,03,17950
上海,闵行,2010,02,17636
上海,闵行,2010,01,17205
上海,浦东,2010,12,21643
上海,浦东,2010,11,21354
上海,浦东,2010,10,21222
上海,浦东,2010,09,20988
上海,浦东,2010,08,20722
上海,浦东,2010,07,20850
上海,浦东,2010,06,21082
上海,浦东,2010,05,21266
上海,浦东,2010,04,21007
