province,city,year,month,price
北京,北京,2011,12,25166
北京,北京,2011,11,25599
北京,北京,2011,10,25964
北京,北京,2011,09,26104
北京,北京,2011,08,26165
北京,北京,2011,07,26363
北京,北京,2011,06,26533
北京,北京,2011,05,26578
北京,北京,2010,12,24733
北京,北京,2010,11,24535
北京,北京,2011,04,26630
北京,北京,2011,03,26550
北京,北京,2011,02,25940
北京,北京,2010,10,24392
北京,北京,2010,09,23926
北京,北京,2010,08,23449
北京,北京,2010,07,23717
北京,北京,2010,06,24462
北京,北京,2011,01,25329
北京,北京,2010,05,25012
北京,北京,2010,04,24259
北京,北京,2010,03,21198
北京,北京,2010,02,20340
北京,北京,2010,01,19904
北京,北京,2012,12,30158
北京,北京,2012,11,29522
北京,北京,2012,10,29071
北京,北京,2012,09,28392
北京,北京,2012,08,27199
北京,北京,2012,07,26579
北京,北京,2012,06,25948
北京,北京,2012,05,25588
北京,北京,2012,04,25413
北京,北京,2012,03,24932
北京,北京,2012,02,24308
北京,北京,2012,01,24593
北京,北京,2013,12,40342
北京,北京,2013,11,40230
北京,北京,2013,10,40054
北京,北京,2013,09,39598
北京,北京,2013,08,38877
北京,北京,2013,07,38502
北京,北京,2013,06,38131
北京,北京,2013,05,37840
北京,北京,2013,04,37077
北京,北京,2013,03,34623
北京,北京,2013,02,32300
北京,北京,2013,01,31258
北京,北京周边,2010,12,7796
北京,北京周边,2010,11,7359
北京,北京周边,2010,10,7642
北京,北京周边,2010,09,7582
北京,北京周边,2010,08,7728
北京,北京周边,2010,07,8000
北京,北京周边,2010,06,8392
北京,北京周边,2010,05,8391
北京,北京周边,2010,04,7454
北京,北京周边,2010,03,7720
北京,北京周边,2010,02,7086
北京,北京周边,2010,01,7846
北京,延庆,2010,12,10283
北京,延庆,2010,11,9855
北京,延庆,2010,10,9089
北京,延庆,2010,09,7411
北京,延庆,2010,08,7898
北京,延庆,2010,07,10087
北京,延庆,2010,06,9142
北京,延庆,2010,05,9729
北京,延庆,2010,04,9851
北京,延庆,2010,03,9727
北京,延庆,2010,02,9403
北京,延庆,2010,01,9479
北京,北京周边,2013,12,9983
北京,北京周边,2013,11,9853
北京,北京周边,2013,10,9597
北京,延庆,2013,12,12243
北京,延庆,2013,11,13042
北京,北京周边,2013,09,9233
北京,北京周边,2013,08,8711
北京,北京周边,2013,07,8472
北京,北京周边,2013,06,8349
北京,北京周边,2013,05,8135
北京,北京周边,2013,04,8086
北京,北京周边,2013,03,7877
北京,延庆,2013,10,12611
北京,延庆,2013,09,13066
北京,延庆,2013,08,11822
北京,北京周边,2013,02,7985
北京,北京周边,2013,01,8001
北京,延庆,2013,07,11766
北京,延庆,2013,06,10930
北京,延庆,2013,05,12125
北京,延庆,2013,04,11928
北京,延庆,2013,03,11768
北京,延庆,2013,02,11597
北京,延庆,2013,01,11325
北京,平谷,2013,07,13541
北京,平谷,2013,06,13302
北京,平谷,2013,05,13873
北京,平谷,2013,04,13795
北京,平谷,2013,03,12654
北京,平谷,2013,02,11728
北京,平谷,2013,01,11111
北京,怀柔,2013,12,16803
北京,怀柔,2013,11,20216
北京,怀柔,2013,10,18811
北京,怀柔,2013,08,50990
北京,怀柔,2013,07,42594
北京,怀柔,2013,06,14252
北京,怀柔,2013,05,13867
北京,怀柔,2013,04,13430
北京,怀柔,2013,03,14176
北京,怀柔,2013,02,13553
北京,怀柔,2013,01,13765
北京,密云,2013,12,16618
北京,密云,2013,11,16012
北京,密云,2013,10,15024
北京,密云,2013,09,14183
北京,密云,2013,08,13653
北京,密云,2013,07,13329
北京,密云,2013,06,13048
北京,密云,2013,05,12560
北京,密云,2013,04,12159
北京,密云,2013,03,11326
北京,密云,2013,02,10764
北京,密云,2013,01,10572
北京,门头沟,2013,12,24243
北京,门头沟,2013,11,23782
北京,门头沟,2013,10,23494
北京,门头沟,2013,09,23040
北京,门头沟,2013,08,21657
北京,门头沟,2013,07,20914
北京,门头沟,2013,06,20514
北京,门头沟,2013,05,20373
北京,门头沟,2013,04,20020
北京,门头沟,2013,03,19044
北京,门头沟,2013,02,18173
北京,门头沟,2013,01,17485
北京,房山,2013,12,19351
北京,房山,2013,11,18974
北京,房山,2013,10,18014
北京,房山,2013,09,16777
北京,房山,2013,08,16094
北京,房山,2013,07,15355
北京,房山,2013,06,15055
北京,房山,2013,05,14453
北京,房山,2013,04,13693
北京,房山,2013,03,12399
北京,房山,2013,02,11449
北京,房山,2013,01,11330
北京,顺义,2013,12,24789
北京,顺义,2013,11,24475
北京,顺义,2013,10,23570
北京,顺义,2013,09,22808
北京,顺义,2013,08,22242
北京,顺义,2013,07,21668
北京,顺义,2013,06,21119
北京,顺义,2013,05,20491
北京,顺义,2013,04,19678
北京,顺义,2013,03,18173
北京,顺义,2013,02,17191
北京,顺义,2013,01,16711
北京,大兴,2013,12,27815
北京,大兴,2013,11,27681
北京,大兴,2013,10,26818
北京,大兴,2013,09,26044
北京,大兴,2013,08,25266
北京,大兴,2013,07,24692
北京,大兴,2013,06,24315
北京,大兴,2013,05,23979
北京,大兴,2013,04,23433
北京,大兴,2013,03,21490
北京,大兴,2013,02,20158
北京,大兴,2013,01,19726
北京,昌平,2013,12,26036
北京,昌平,2013,11,25911
北京,昌平,2013,10,25495
北京,昌平,2013,09,24482
北京,昌平,2013,08,23691
北京,昌平,2013,07,23334
北京,昌平,2013,06,23408
北京,昌平,2013,05,23149
北京,昌平,2013,04,22686
北京,昌平,2013,03,21143
北京,昌平,2013,02,19630
北京,昌平,2013,01,18915
北京,石景山,2013,12,35404
北京,石景山,2013,11,35265
北京,石景山,2013,10,35062
北京,石景山,2013,09,34558
北京,石景山,2013,08,34074
北京,石景山,2013,07,33384
北京,石景山,2013,06,32869
北京,石景山,2013,05,32307
北京,石景山,2013,04,32270
北京,石景山,2013,03,30967
北京,石景山,2013,02,28610
北京,石景山,2013,01,26720
北京,通州,2013,12,24482
北京,通州,2013,11,24087
北京,通州,2013,10,23330
北京,通州,2013,09,22655
北京,通州,2013,08,22108
北京,通州,2013,07,21513
北京,通州,2013,06,20892
北京,通州,2013,05,20428
北京,通州,2013,04,20102
北京,通州,2013,03,18959
北京,通州,2013,02,17769
北京,通州,2013,01,17254
北京,丰台,2013,12,39063
北京,丰台,2013,11,38652
北京,丰台,2013,10,38394
北京,丰台,2013,09,37817
北京,丰台,2013,08,37215
北京,丰台,2013,07,36755
北京,丰台,2013,06,36204
北京,丰台,2013,05,35616
北京,丰台,2013,04,35027
北京,丰台,2013,03,32817
北京,丰台,2013,02,30292
北京,丰台,2013,01,29065
北京,西城,2013,12,66805
北京,西城,2013,11,66802
北京,西城,2013,10,65869
北京,西城,2013,09,65132
北京,西城,2013,08,65102
北京,西城,2013,07,64811
北京,西城,2013,06,64248
北京,西城,2013,05,63875
北京,西城,2013,04,63235
北京,西城,2013,03,60121
北京,西城,2013,02,56026
北京,西城,2013,01,54156
北京,东城,2013,12,58566
北京,东城,2013,11,57998
北京,东城,2013,10,59252
北京,东城,2013,09,58710
北京,东城,2013,08,57649
北京,东城,2013,07,56460
北京,东城,2013,06,54400
北京,东城,2013,05,54174
北京,东城,2013,04,53105
北京,东城,2013,03,50350
北京,东城,2013,02,47776
北京,东城,2013,01,46283
北京,海淀,2013,12,54221
北京,海淀,2013,11,54016
北京,海淀,2013,10,53580
北京,海淀,2013,09,52849
北京,海淀,2013,08,52522
北京,海淀,2013,07,52325
北京,海淀,2013,06,51801
北京,海淀,2013,05,51446
北京,海淀,2013,04,50923
北京,海淀,2013,03,48190
北京,海淀,2013,02,44505
北京,海淀,2013,01,42545
北京,朝阳,2013,12,44662
北京,朝阳,2013,11,44442
北京,朝阳,2013,10,44090
北京,朝阳,2013,09,43221
北京,朝阳,2013,08,42672
北京,朝阳,2013,07,42030
北京,朝阳,2013,06,41528
北京,朝阳,2013,05,40922
北京,朝阳,2013,04,40304
北京,朝阳,2013,03,38350
北京,朝阳,2013,02,36017
北京,朝阳,2013,01,34858
北京,北京周边,2012,12,7961
北京,北京周边,2012,11,7903
北京,北京周边,2012,10,7763
北京,北京周边,2012,09,7618
北京,北京周边,2012,08,7484
北京,北京周边,2012,07,7350
北京,北京周边,2012,06,7198
北京,北京周边,2012,05,7178
北京,北京周边,2012,04,7284
北京,北京周边,2012,03,7364
北京,北京周边,2012,02,7473
北京,北京周边,2012,01,7500
北京,延庆,2012,12,10712
北京,延庆,2012,11,10973
北京,延庆,2012,10,10881
北京,延庆,2012,09,10775
北京,延庆,2012,08,9627
北京,延庆,2012,07,9420
北京,延庆,2012,06,10231
北京,延庆,2012,05,10329
北京,延庆,2012,04,13888
北京,延庆,2012,03,10569
北京,延庆,2012,02,13022
北京,延庆,2012,01,12211
北京,平谷,2012,12,11098
北京,平谷,2012,11,10767
北京,平谷,2012,10,11111
北京,平谷,2012,09,11111
北京,平谷,2012,08,11010
北京,平谷,2012,07,10582
北京,平谷,2012,06,11466
北京,平谷,2012,05,11316
北京,平谷,2012,04,12626
北京,平谷,2012,03,11919
北京,平谷,2012,02,12497
北京,平谷,2012,01,12566
北京,怀柔,2012,12,14928
北京,怀柔,2012,11,14581
北京,怀柔,2012,10,14527
北京,怀柔,2012,09,14350
北京,怀柔,2012,08,14567
北京,怀柔,2012,07,14613
北京,怀柔,2012,06,13909
北京,怀柔,2012,05,13652
北京,怀柔,2012,04,13606
北京,怀柔,2012,03,13675
北京,怀柔,2012,02,13653
北京,怀柔,2012,01,13660
北京,密云,2012,12,10323
北京,密云,2012,11,10044
北京,密云,2012,10,10002
北京,密云,2012,09,9940
北京,密云,2012,08,9744
北京,密云,2012,07,9644
北京,密云,2012,06,9526
北京,密云,2012,05,9468
北京,密云,2012,04,9451
北京,密云,2012,03,9401
北京,密云,2012,02,9390
北京,密云,2012,01,9536
北京,门头沟,2012,12,16827
北京,门头沟,2012,11,16319
北京,门头沟,2012,10,15834
北京,门头沟,2012,09,15808
北京,门头沟,2012,08,15688
北京,门头沟,2012,07,15356
北京,门头沟,2012,06,15256
北京,门头沟,2012,05,15099
北京,门头沟,2012,04,14986
北京,门头沟,2012,03,14989
北京,门头沟,2012,02,15357
北京,门头沟,2012,01,15913
北京,房山,2012,12,11197
北京,房山,2012,11,11185
北京,房山,2012,10,11004
北京,房山,2012,09,10908
北京,房山,2012,08,10874
北京,房山,2012,07,10791
北京,房山,2012,06,10643
北京,房山,2012,05,10507
北京,房山,2012,04,10548
北京,房山,2012,03,10641
北京,房山,2012,02,10665
北京,房山,2012,01,10852
北京,顺义,2012,12,16240
北京,顺义,2012,11,16050
北京,顺义,2012,10,15821
北京,顺义,2012,09,15498
北京,顺义,2012,08,14929
北京,顺义,2012,07,14399
北京,顺义,2012,06,14076
北京,顺义,2012,05,14132
北京,顺义,2012,04,14244
北京,顺义,2012,03,14228
北京,顺义,2012,02,13643
北京,顺义,2012,01,13774
北京,大兴,2012,12,18929
北京,大兴,2012,11,18583
北京,大兴,2012,10,18379
北京,大兴,2012,09,18030
北京,大兴,2012,08,17492
北京,大兴,2012,07,16851
北京,大兴,2012,06,16413
北京,大兴,2012,05,16238
北京,大兴,2012,04,16052
北京,大兴,2012,03,15791
北京,大兴,2012,02,15473
北京,大兴,2012,01,15796
北京,昌平,2012,12,18225
北京,昌平,2012,11,17835
北京,昌平,2012,10,17678
北京,昌平,2012,09,17271
北京,昌平,2012,08,16782
北京,昌平,2012,07,16682
北京,昌平,2012,06,16394
北京,昌平,2012,05,16290
北京,昌平,2012,04,16224
北京,昌平,2012,03,15845
北京,昌平,2012,02,15210
北京,昌平,2012,01,15530
北京,丰台,2012,12,27956
北京,丰台,2012,11,27279
北京,丰台,2012,10,26972
北京,丰台,2012,09,26302
北京,丰台,2012,08,25580
北京,丰台,2012,07,24770
北京,丰台,2012,06,24052
北京,丰台,2012,05,23743
北京,丰台,2012,04,23394
北京,丰台,2012,03,22977
北京,丰台,2012,02,22497
北京,丰台,2012,01,22817
北京,通州,2012,12,16676
北京,通州,2012,11,16447
北京,通州,2012,10,16253
北京,通州,2012,09,16033
北京,通州,2012,08,15542
北京,通州,2012,07,15147
北京,通州,2012,06,14844
北京,通州,2012,05,14710
北京,通州,2012,04,14619
北京,通州,2012,03,14302
北京,通州,2012,02,14067
北京,通州,2012,01,14194
北京,西城,2012,12,50928
北京,西城,2012,11,49640
北京,西城,2012,10,49023
北京,西城,2012,09,48864
北京,西城,2012,08,46421
北京,西城,2012,07,43670
北京,西城,2012,06,42109
北京,西城,2012,05,41249
北京,西城,2012,04,41230
北京,西城,2012,03,40256
北京,西城,2012,02,39954
北京,西城,2012,01,39641
北京,东城,2012,12,43997
北京,东城,2012,11,43035
北京,东城,2012,10,42209
北京,东城,2012,09,41613
北京,东城,2012,08,39754
北京,东城,2012,07,38095
北京,东城,2012,06,37895
北京,东城,2012,05,36947
北京,东城,2012,04,36403
北京,东城,2012,03,34766
北京,东城,2012,02,34881
北京,东城,2012,01,34960
北京,海淀,2012,12,40536
北京,海淀,2012,11,39203
北京,海淀,2012,10,38473
北京,海淀,2012,09,37637
北京,海淀,2012,08,35912
北京,海淀,2012,07,34726
北京,海淀,2012,06,33705
北京,海淀,2012,05,33305
北京,海淀,2012,04,32955
北京,海淀,2012,03,31860
北京,海淀,2012,02,30833
北京,海淀,2012,01,31024
北京,朝阳,2012,12,33329
北京,朝阳,2012,11,32608
北京,朝阳,2012,10,32020
北京,朝阳,2012,09,31466
北京,朝阳,2012,08,30692
北京,朝阳,2012,07,29868
北京,朝阳,2012,06,29103
北京,朝阳,2012,05,28646
北京,朝阳,2012,04,28394
北京,朝阳,2012,03,27835
北京,朝阳,2012,02,27067
北京,朝阳,2012,01,27273
北京,平谷,2010,12,7294
北京,平谷,2010,11,8124
北京,平谷,2010,10,8613
北京,平谷,2010,09,8245
北京,平谷,2010,08,8088
北京,平谷,2010,07,8399
北京,平谷,2010,06,7146
北京,平谷,2010,05,7988
北京,平谷,2010,04,16851
北京,平谷,2010,03,11493
北京,平谷,2010,02,10043
北京,平谷,2010,01,9828
北京,怀柔,2010,12,13920
北京,怀柔,2010,11,14466
北京,怀柔,2010,10,14568
北京,怀柔,2010,09,14623
北京,怀柔,2010,08,14931
北京,怀柔,2010,07,14953
北京,怀柔,2010,06,16040
北京,怀柔,2010,05,14773
北京,怀柔,2010,04,14125
北京,怀柔,2010,03,14246
北京,怀柔,2010,02,18599
北京,怀柔,2010,01,18571
北京,密云,2010,12,8654
北京,密云,2010,11,8576
北京,密云,2010,10,8545
北京,密云,2010,09,8472
北京,密云,2010,08,8251
北京,密云,2010,07,8322
北京,密云,2010,06,8353
北京,密云,2010,05,8354
北京,密云,2010,04,8110
北京,密云,2010,03,7674
北京,密云,2010,02,7677
北京,密云,2010,01,7657
北京,门头沟,2010,12,17595
北京,门头沟,2010,11,16362
北京,门头沟,2010,10,15800
北京,门头沟,2010,09,15132
北京,门头沟,2010,08,15007
北京,门头沟,2010,07,15021
北京,门头沟,2010,06,15180
北京,门头沟,2010,05,15323
北京,门头沟,2010,04,14558
北京,门头沟,2010,03,12545
北京,门头沟,2010,02,11904
北京,门头沟,2010,01,11759
北京,房山,2010,12,11867
北京,房山,2010,11,11938
北京,房山,2010,10,11945
北京,房山,2010,09,11989
北京,房山,2010,08,12054
北京,房山,2010,07,12361
北京,房山,2010,06,12515
北京,房山,2010,05,12407
北京,房山,2010,04,12010
北京,房山,2010,03,10944
北京,房山,2010,02,10720
北京,房山,2010,01,10152
北京,顺义,2010,12,14795
北京,顺义,2010,11,14874
北京,顺义,2010,10,14793
北京,顺义,2010,09,14724
北京,顺义,2010,08,14467
北京,顺义,2010,07,14767
北京,顺义,2010,06,15036
北京,顺义,2010,05,15025
北京,顺义,2010,04,13892
北京,顺义,2010,03,11722
北京,顺义,2010,02,11303
北京,顺义,2010,01,10983
北京,大兴,2010,12,16341
北京,大兴,2010,11,15953
北京,大兴,2010,10,15989
北京,大兴,2010,09,15891
北京,大兴,2010,08,15722
北京,大兴,2010,07,15872
北京,大兴,2010,06,16403
北京,大兴,2010,05,16547
北京,大兴,2010,04,15884
北京,大兴,2010,03,14153
北京,大兴,2010,02,13761
北京,大兴,2010,01,13226
北京,昌平,2010,12,16122
北京,昌平,2010,11,16017
北京,昌平,2010,10,16113
北京,昌平,2010,09,15690
北京,昌平,2010,08,15530
北京,昌平,2010,07,15785
北京,昌平,2010,06,15986
