province,city,year,month,price
广州,广州,2011,12,14762
广州,广州,2011,11,14677
广州,广州,2011,10,14521
广州,广州,2011,09,14547
广州,广州,2011,08,14654
广州,广州,2011,07,14855
广州,广州,2011,06,14938
广州,广州,2011,05,14977
广州,广州,2011,04,14998
广州,广州,2011,03,14680
广州,广州,2011,02,14114
广州,广州,2011,01,13535
广州,广州,2010,12,12944
广州,广州,2010,11,12413
广州,广州,2010,10,12062
广州,广州,2010,09,11505
广州,广州,2010,08,10878
广州,广州,2010,07,10622
广州,广州,2010,06,10787
广州,广州,2010,05,10610
广州,广州,2010,04,10351
广州,广州,2010,03,10000
广州,广州,2010,02,10000
广州,广州,2010,01,9873
广州,广州,2012,12,16555
广州,广州,2012,11,16207
广州,广州,2012,10,15886
广州,广州,2012,09,15754
广州,广州,2012,08,15467
广州,广州,2012,07,15246
广州,广州,2012,06,15152
广州,广州,2012,05,15148
广州,广州,2012,04,15203
广州,广州,2012,03,15215
广州,广州,2012,02,15194
广州,广州,2012,01,14993
广州,广州,2013,12,19208
广州,广州,2013,11,19589
广州,广州,2013,10,19445
广州,广州,2013,09,19011
广州,广州,2013,08,18293
广州,广州,2013,07,17759
广州,广州,2013,06,17515
广州,广州,2013,05,17304
广州,广州,2013,04,17651
广州,广州,2013,03,17665
广州,广州,2013,02,17423
广州,广州,2013,01,17003
广州,从化,2013,12,10187
广州,从化,2013,11,10395
广州,从化,2013,10,10574
广州,从化,2013,09,15698
广州,从化,2013,08,11756
广州,从化,2013,07,11009
广州,从化,2013,06,10819
广州,从化,2013,05,10864
广州,从化,2013,04,11480
广州,从化,2013,03,11390
广州,从化,2013,02,11408
广州,从化,2013,01,11406
广州,南沙,2013,12,10939
广州,南沙,2013,11,10784
广州,南沙,2013,10,10466
广州,南沙,2013,09,10237
广州,南沙,2013,08,9813
广州,南沙,2013,07,9623
广州,南沙,2013,06,10264
广州,南沙,2013,05,10608
广州,南沙,2013,04,11014
广州,南沙,2013,03,11057
广州,南沙,2013,02,10309
广州,南沙,2013,01,9873
广州,增城,2013,12,10444
广州,增城,2013,11,10416
广州,增城,2013,10,10414
广州,增城,2013,09,10047
广州,增城,2013,08,9412
广州,增城,2013,07,8863
广州,增城,2013,06,8618
广州,增城,2013,05,9102
广州,增城,2013,04,8953
广州,增城,2013,03,8778
广州,增城,2013,02,8470
广州,增城,2013,01,8188
广州,荔湾,2013,12,19386
广州,荔湾,2013,11,19325
广州,荔湾,2013,10,18747
广州,荔湾,2013,09,17715
广州,荔湾,2013,08,16955
广州,荔湾,2013,07,16656
广州,荔湾,2013,06,16159
广州,荔湾,2013,05,16165
广州,荔湾,2013,04,16780
广州,荔湾,2013,03,17023
广州,荔湾,2013,02,16815
广州,荔湾,2013,01,16674
广州,黄埔,2013,12,15769
广州,黄埔,2013,11,15679
广州,黄埔,2013,10,15614
广州,黄埔,2013,09,15188
广州,黄埔,2013,08,14816
广州,黄埔,2013,07,14950
广州,黄埔,2013,06,14876
广州,黄埔,2013,05,13651
广州,黄埔,2013,04,13092
广州,黄埔,2013,03,12595
广州,黄埔,2013,02,12171
广州,黄埔,2013,01,11863
广州,花都,2013,12,8329
广州,花都,2013,11,8244
广州,花都,2013,10,8277
广州,花都,2013,09,8206
广州,花都,2013,08,8133
广州,花都,2013,07,8157
广州,花都,2013,06,8139
广州,花都,2013,05,7957
广州,花都,2013,04,7797
广州,花都,2013,03,7458
广州,花都,2013,02,7250
广州,花都,2013,01,7077
广州,越秀,2013,12,28630
广州,越秀,2013,11,27860
广州,越秀,2013,10,27648
广州,越秀,2013,09,26561
广州,越秀,2013,08,26382
广州,越秀,2013,07,26078
广州,越秀,2013,06,26386
广州,越秀,2013,05,26225
广州,越秀,2013,04,24338
广州,越秀,2013,03,23582
广州,越秀,2013,02,23160
广州,越秀,2013,01,22875
广州,海珠,2013,12,24522
广州,海珠,2013,11,24449
广州,海珠,2013,10,24277
广州,海珠,2013,09,23756
广州,海珠,2013,08,22988
广州,海珠,2013,07,22461
广州,海珠,2013,06,21784
广州,海珠,2013,05,21122
广州,海珠,2013,04,20389
广州,海珠,2013,03,19904
广州,海珠,2013,02,19411
广州,海珠,2013,01,18945
广州,白云,2013,12,17515
广州,白云,2013,11,17501
广州,白云,2013,10,17321
广州,白云,2013,09,17161
广州,白云,2013,08,16885
广州,白云,2013,07,16434
广州,白云,2013,06,15769
广州,白云,2013,05,15437
广州,白云,2013,04,15070
广州,白云,2013,03,14447
广州,白云,2013,02,14007
广州,白云,2013,01,13591
